iter	Passed	Remaining
0	0	84
1	1	91
2	3	116
3	4	118
4	6	124
5	8	131
6	10	137
7	12	141
8	14	143
9	16	146
10	18	146
11	20	150
12	22	152
13	25	153
14	27	153
15	29	154
16	31	152
17	33	151
18	35	149
19	37	148
20	39	147
21	41	146
22	43	144
23	45	144
24	46	140
25	47	135
26	49	134
27	51	132
28	53	130
29	55	128
30	56	126
31	58	124
32	60	122
33	61	120
34	63	117
35	65	115
36	66	113
37	68	110
38	69	108
39	71	106
40	72	104
41	73	101
42	75	99
43	76	97
44	77	94
45	78	92
46	79	90
47	81	88
48	83	86
49	85	85
50	86	83
51	88	81
52	89	79
53	90	77
54	91	75
55	93	73
56	94	71
57	95	69
58	96	67
59	97	65
60	99	63
61	100	61
62	101	59
63	102	57
64	103	55
65	104	53
66	105	52
67	106	50
68	108	48
69	109	46
70	110	45
71	112	43
72	113	41
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	120	31
79	121	30
80	122	28
81	123	27
82	124	25
83	125	23
84	126	22
85	127	20
86	128	19
87	130	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	136	7
95	137	5
96	138	4
97	139	2
98	140	1
99	141	0
